emp_no,last_name,first_name,dept_no,dept_name
10053,Zschoche,Sanjiv,d007,Sales
10088,Syrzycki,Jungsoon,d007,Sales
10149,Perry,Xiadong,d007,Sales
10215,Duclos,Xiaobin,d007,Sales
10302,Baer,Faiza,d007,Sales
10355,Cochrane,Satyanarayana,d007,Sales
10442,Unno,Volkmar,d007,Sales
10463,Zaiane,Ung,d007,Sales
10504,Varker,Xiong,d007,Sales
10541,Eiter,Godehard,d007,Sales
10548,Gunderson,Ramalingam,d007,Sales
10629,Francisci,Lalit,d007,Sales
10767,Doering,Monique,d007,Sales
10795,Naudin,Supot,d007,Sales
10836,Leivant,Jianhua,d007,Sales
10878,Deville,Lakshmi,d007,Sales
10895,Petersohn,Vishwani,d007,Sales
10924,Atchley,Hironoby,d007,Sales
10965,Braunschweig,Eckart,d007,Sales
11009,Axelband,Alper,d007,Sales
11048,Demke,Jaques,d007,Sales
11146,Masand,Ishfaq,d007,Sales
11197,Fordan,Tadahiro,d007,Sales
11338,Hanratty,Kwangsub,d007,Sales
11441,Aingworth,Marlo,d007,Sales
11506,Picel,Rance,d007,Sales
11515,Basawa,Ulf,d007,Sales
11537,Pehl,DAIDA,d007,Sales
11567,Mitzlaff,Teiji,d007,Sales
11615,Isaak,Shem,d007,Sales
11660,Stenning,Gill,d007,Sales
11696,Rothe,Dante,d007,Sales
11746,Marrakchi,Koichi,d007,Sales
11747,Kossowski,Aksel,d007,Sales
11797,Thambidurai,Chenxi,d007,Sales
11813,Muhlberg,Gita,d007,Sales
11817,Markovitch,Niranjan,d007,Sales
11838,Nitta,Taiji,d007,Sales
11857,Farrag,Divier,d007,Sales
11897,Setlzner,Cordelia,d007,Sales
12011,Coorg,Zhilian,d007,Sales
12036,Ratzlaff,Mads,d007,Sales
12076,Siprelle,Karlis,d007,Sales
12082,Yamaashi,Xinan,d007,Sales
12099,Kuzuoka,Nobuyoshi,d007,Sales
12128,Barreiro,Yannik,d007,Sales
12149,Grandbois,Suebskul,d007,Sales
12373,Driscoll,Mooi,d007,Sales
12399,Luga,Mihalis,d007,Sales
12411,Ibel,Shao,d007,Sales
12415,Sluis,Uri,d007,Sales
12454,Farris,Kerryn,d007,Sales
12464,Milicic,Shai,d007,Sales
12478,Hopewell,Yahiko,d007,Sales
12497,Penz,Stein,d007,Sales
12541,Nanard,Shih,d007,Sales
12651,Bael,Pragnesh,d007,Sales
12664,Parveen,Zhonghua,d007,Sales
12732,Takanami,Mara,d007,Sales
12759,Kuszyk,LiMin,d007,Sales
12790,Perl,Gunilla,d007,Sales
12798,Beeson,Lillian,d007,Sales
12803,Boissier,Gad,d007,Sales
12872,Schmittgen,Marl,d007,Sales
12890,Casley,Neven,d007,Sales
12893,Crouzet,Licheng,d007,Sales
12922,Porenta,Jacqueline,d007,Sales
12951,Keirsey,Mohammad,d007,Sales
12974,Frolund,Gift,d007,Sales
13075,Morrin,Rosella,d007,Sales
13124,Garnick,Quingbo,d007,Sales
13146,Erie,Haldon,d007,Sales
13147,Ginesta,Shichao,d007,Sales
13173,Horswill,Arve,d007,Sales
13179,Janocha,Moty,d007,Sales
13186,Barbanera,Kyoichi,d007,Sales
13210,Klassen,Jianhua,d007,Sales
13213,Billawala,Hein,d007,Sales
13238,Foote,Ebru,d007,Sales
13243,Huxford,Fay,d007,Sales
13305,Herath,Bikash,d007,Sales
13392,Beidas,Fumitake,d007,Sales
13405,Baba,Randy,d007,Sales
13524,Porotnikoff,Chaoyi,d007,Sales
13605,Encarnacion,Dmitry,d007,Sales
13680,Speer,Denny,d007,Sales
13684,Christ,Elvia,d007,Sales
13721,Delgrossi,Sugwoo,d007,Sales
13747,Capobianchi,Masaru,d007,Sales
13769,Trogemann,Yakichi,d007,Sales
13775,Maierhofer,Arve,d007,Sales
13786,Berendt,Takushi,d007,Sales
13801,Mayerwieser,Shih,d007,Sales
13916,Wynblatt,Vidya,d007,Sales
13930,Chartres,Sukumar,d007,Sales
13951,Genther,Mooi,d007,Sales
13986,Ramsey,Geraldo,d007,Sales
14197,Chachaty,Adin,d007,Sales
14275,Aseltine,Tristan,d007,Sales
14310,Leuchs,Marlo,d007,Sales
14354,Bojadziev,Mong,d007,Sales
14478,Boissier,Munehiro,d007,Sales
14513,Barreiro,Samphel,d007,Sales
14516,Underwood,Kristian,d007,Sales
14607,Selvestrel,Suzette,d007,Sales
14621,Wixon,Souichi,d007,Sales
14639,Hempstead,Arvind,d007,Sales
14648,Lorys,IEEE,d007,Sales
14865,Serra,Ute,d007,Sales
14871,Kaiserswerth,Arnd,d007,Sales
