emp_no,last_name,first_name,dept_no,dept_name
10001,Facello,Georgi,d005,Development
10018,Peha,Kazuhide,d005,Development
10053,Zschoche,Sanjiv,d007,Sales
10066,Schusler,Kwee,d005,Development
10070,Garigliano,Reuven,d005,Development
10072,Sidou,Hironoby,d005,Development
10076,Ritzmann,Erez,d005,Development
10088,Syrzycki,Jungsoon,d007,Sales
10103,Birch,Akemi,d005,Development
10116,Czap,Dayanand,d005,Development
10129,Peir,Armond,d005,Development
10134,Siprelle,Diederik,d005,Development
10149,Perry,Xiadong,d007,Sales
10150,Perng,Zhenbing,d005,Development
10153,Majewski,Heekeun,d005,Development
10157,Aloisi,Nigel,d005,Development
10198,Furedi,Pranav,d005,Development
10215,Duclos,Xiaobin,d007,Sales
10258,Ishibashi,Basil,d005,Development
10283,Birjandi,Kauko,d005,Development
10302,Baer,Faiza,d007,Sales
10305,Piancastelli,Hirochika,d005,Development
10327,Facello,Roded,d005,Development
10355,Cochrane,Satyanarayana,d007,Sales
10395,Deverell,Takahiro,d005,Development
10396,Rahier,Sibyl,d005,Development
10404,Rosti,Prodip,d005,Development
10426,Luce,Arunas,d005,Development
10429,Improta,Martien,d005,Development
10442,Unno,Volkmar,d007,Sales
10463,Zaiane,Ung,d007,Sales
10504,Varker,Xiong,d007,Sales
10519,Alencar,Yonghoan,d005,Development
10538,Falby,Przemyslawa,d005,Development
10541,Eiter,Godehard,d007,Sales
10548,Gunderson,Ramalingam,d007,Sales
10623,Danlos,Aleksander,d005,Development
10628,Krogh,Krisda,d005,Development
10629,Francisci,Lalit,d007,Sales
10631,Chaudhuri,Inderjeet,d005,Development
10642,Narlikar,Hirochika,d005,Development
10653,Feinberg,Otmar,d005,Development
10676,Danley,Valeri,d005,Development
10702,Szemeredi,Bader,d005,Development
10718,Rullman,Adib,d005,Development
10726,Minakawa,Zita,d005,Development
10751,Ushiama,Jordanka,d005,Development
10767,Doering,Monique,d007,Sales
10791,Sgarro,Tadahiko,d005,Development
10795,Naudin,Supot,d007,Sales
10808,Leijenhorst,Chenxi,d005,Development
10836,Leivant,Jianhua,d007,Sales
10844,Koprowski,Dipayan,d005,Development
10878,Deville,Lakshmi,d007,Sales
10879,Chleq,Muzhong,d005,Development
10895,Petersohn,Vishwani,d007,Sales
10909,Atchley,Georgi,d005,Development
10924,Atchley,Hironoby,d007,Sales
10943,Skafidas,Berna,d005,Development
10965,Braunschweig,Eckart,d007,Sales
10969,Noriega,Premal,d005,Development
10974,Papsdorf,Muneo,d005,Development
10986,Schiper,Masako,d005,Development
10988,Deyuan,Chinya,d005,Development
10990,Foote,Shin,d005,Development
11009,Axelband,Alper,d007,Sales
11019,Huttel,Leon,d005,Development
11042,Breugel,Gou,d005,Development
11048,Demke,Jaques,d007,Sales
11106,Iwayama,Aris,d005,Development
11121,Kakkad,Vugranam,d005,Development
11137,Luca,Hugh,d005,Development
11146,Masand,Ishfaq,d007,Sales
11162,Narlikar,Kauko,d005,Development
11180,Bojadziev,Mitsuyuki,d005,Development
11197,Fordan,Tadahiro,d007,Sales
11207,Gips,Saeed,d005,Development
11240,Condotta,Kiam,d005,Development
11249,Cyre,Randi,d005,Development
11275,Eppinger,Hitomi,d005,Development
11290,Dredge,Visit,d005,Development
11291,Glowinski,Gino,d005,Development
11319,Marrakchi,Pranas,d005,Development
11338,Hanratty,Kwangsub,d007,Sales
11347,Jonsson,Anneli,d005,Development
11380,Pelc,Kenroku,d005,Development
11404,Borovoy,Bedrich,d005,Development
11441,Aingworth,Marlo,d007,Sales
11506,Picel,Rance,d007,Sales
11509,Feldhoffer,Aleksander,d005,Development
11515,Basawa,Ulf,d007,Sales
11524,Standera,Xiadong,d005,Development
11537,Pehl,DAIDA,d007,Sales
11567,Mitzlaff,Teiji,d007,Sales
11568,Fujisaki,Martins,d005,Development
11615,Isaak,Shem,d007,Sales
11628,Malinowski,Fan,d005,Development
11640,Coorg,Valeri,d005,Development
11647,Nitsche,Magy,d005,Development
11660,Stenning,Gill,d007,Sales
11696,Rothe,Dante,d007,Sales
11746,Marrakchi,Koichi,d007,Sales
11747,Kossowski,Aksel,d007,Sales
11769,Lampe,Chandrasekaran,d005,Development
11772,Penz,Gaurav,d005,Development
11797,Thambidurai,Chenxi,d007,Sales
11805,Grandbois,Rosine,d005,Development
11810,Bhattacharjee,Amabile,d005,Development
11813,Muhlberg,Gita,d007,Sales
11817,Markovitch,Niranjan,d007,Sales
11832,Zlotek,Arto,d005,Development
11838,Nitta,Taiji,d007,Sales
11844,Demeyer,Shawna,d005,Development
11857,Farrag,Divier,d007,Sales
11871,Sommen,Nalini,d005,Development
11894,Validov,Mitchel,d005,Development
11897,Setlzner,Cordelia,d007,Sales
11906,Boguraev,Hideo,d005,Development
11933,Erman,Basil,d005,Development
11983,Hedayat,Jaana,d005,Development
11988,Chinin,Chinya,d005,Development
12011,Coorg,Zhilian,d007,Sales
12033,Serot,Visit,d005,Development
12036,Ratzlaff,Mads,d007,Sales
12052,Khasidashvili,Masako,d005,Development
12069,Burnard,Ayonca,d005,Development
12070,Shokrollahi,Ger,d005,Development
12076,Siprelle,Karlis,d007,Sales
12082,Yamaashi,Xinan,d007,Sales
12087,Jumpertz,Weijing,d005,Development
12099,Kuzuoka,Nobuyoshi,d007,Sales
